English;Afrikaans;EN-AF Basics
angle   ;hoek
ant     ;mier
apple   ;appel
arch    ;boog
arm     ;arm
army    ;weermag
baby    ;baba
bag     ;sak
ball    ;bal
basin   ;wasbak
basket  ;mandjie
bath    ;bad
bed     ;bed
bee     ;bee
bell    ;klok
berry   ;Berry
bird    ;voël
blade   ;lem
board   ;raad
boat    ;boot
bone    ;been
book    ;boek
boot    ;stewel
bottle  ;bottel
box     ;boks
boy     ;seuntjie
brain   ;brein
brake   ;rem
branch  ;tak
brick   ;baksteen
bridge  ;oorbrug
brush   ;kwas
bucket  ;emmer
bulb    ;gloeilamp
button  ;knoppie
cake    ;koek
camera  ;kamera
card    ;card
cart    ;wa
carriage;vervoer
cat     ;kat
chain   ;ketting
cheese  ;kaas
chest   ;bors
chin    ;ken
church  ;kerk
circle  ;sirkel
clock   ;klok
cloud   ;wolk
coat    ;Jas
collar  ;kraag
comb    ;kam
cord    ;koord
cow     ;koei
cup     ;koppie
curtain ;gordyn
cushion ;kussing
dog     ;hond
door    ;deur
drain   ;dreineer
drawer  ;laai
dress   ;aantrek
drop    ;drop
ear     ;oor
egg     ;eier
engine  ;enjin
eye     ;oog
face    ;gesig
farm    ;plaas
feather ;veer
finger  ;vinger
fish    ;vis
flag    ;vlag
floor   ;vloer
fly     ;vlieg
foot    ;voet
fork    ;vurk
fowl    ;voëls
frame   ;raam
garden  ;tuin
girl    ;meisie
glove   ;handskoen
goat    ;bok
gun     ;geweer
hair    ;hare
hammer  ;hamer
hand    ;hand
hat     ;hoed
head    ;kop
heart   ;hart
hook    ;haak
horn    ;horing
horse   ;perd
hospital;hospitaal
house   ;huis
island  ;eiland
jewel   ;juweel
kettle  ;ketel
key     ;sleutel
knee    ;knie
knife   ;mes
knot    ;knoop
leaf    ;blaar
leg     ;been
library ;biblioteek
line    ;lyn
lip     ;lip
lock    ;sluit
map     ;kaart
match   ;wedstryd
monkey  ;aap
moon    ;maan
mouth   ;mond
muscle  ;spiere
nail    ;spyker
neck    ;nek
needle  ;naald
nerve   ;senuwee
net     ;netto
nose    ;neus
nut     ;neut
office  ;kantoor
orange  ;oranje
oven    ;oond
parcel  ;pakkie
pen     ;pen
pencil  ;potlood
picture ;prent
pig     ;vark
pin     ;speld
pipe    ;pyp
plane   ;vliegtuig
plate   ;plaat
plow    ;ploeg
pocket  ;sak
pot     ;pot
potato  ;aartappel
prison  ;gevangenis
pump    ;pomp
rail    ;spoor
rat     ;rot
receipt ;kwitansie
ring    ;ring
rod     ;paal
roof    ;dak
root    ;wortel
sail    ;seil
school  ;skool
scissors;skêr
screw   ;skroef
seed    ;saad
sheep   ;skape
shelf   ;rak
ship    ;skip
shirt   ;hemp
shoe    ;skoen
skin    ;vel
skirt   ;romp
snake   ;slang
sock    ;sokkie
spade   ;graaf
sponge  ;spons
spoon   ;lepel
spring  ;lente
square  ;vierkante
stamp   ;stempel
star    ;ster
station ;stasie
stem    ;stam
stick   ;stok
stocking;kous
stomach ;maag
store   ;winkel
street  ;straat
sun     ;son
table   ;tafel
tail    ;stert
thread  ;draad
throat  ;keel
thumb   ;duim
ticket  ;kaartjie
toe     ;toon
tongue  ;tong
tooth   ;tand
town    ;dorp
train   ;trein
tray    ;skinkbord
tree    ;boom
trousers;broek
umbrella;sambreel
wall    ;muur
watch   ;kyk
wheel   ;wiel
whip    ;sweep
whistle ;fluitjie
window  ;venster
wing    ;vleuel
wire    ;draad
worm    ;wurm
