English;Esperanto;EN-EO Animals
Ant          ;formiko
Bat          ;batilo
Bear         ;urso
Bee          ;abelo
Beetle       ;skarabo
Bird         ;birdo
Boar         ;Apro
Butterfly    ;Papilio
Camel        ;kamelo
Cat          ;kato
Centipede    ;skolopendroj
Cheetah      ;Gepardo
Chicken      ;Kokido
Cockroach    ;blato
Cow          ;bovino
Crab         ;Krabo
Crocodile    ;krokodilo
Deer         ;cervo
Dog          ;hundo
Duck         ;anaso
Elephant     ;Elefanto
Fish         ;fiŝoj
Goat         ;kapro
Goose        ;ansero
Grasshopper  ;Akrido
Hamster      ;hamstro
Hedgehog     ;erinaco
Hippo        ;Hipono
Horse        ;ĉevalo
Leopard      ;leopardo
Lion         ;leono
Llama        ;Flamo
Mouse        ;muso
Newt         ;salamandro
Otter        ;lutro
Panda        ;pando
Pig          ;porko
Pigeon       ;Kolombo
Python       ;pitono
Rabbit       ;Kuniklo
Rat          ;rato
Reptile      ;reptilio
Rhino        ;Rinocero
Scorpion     ;Skorpio
Shark        ;ŝarko
Sheep        ;ŝafoj
Sloth        ;bradipon
Snail        ;heliko
Snake        ;Serpento
Spider       ;araneo
Squid        ;Squid
Squirrel     ;sciuro
Star Fish    ;Stelo Fiŝo
Tiger        ;Tigro
Toad         ;Bufo
Tortoise     ;Testudo
Tuna         ;tinuso
Turkey       ;Turkio
Turtle       ;Testudo
Wasp         ;Vespo
Whale        ;baleno
Wolf         ;lupo
Worm         ;vermo
Zebra        ;zebro
