English;Spanish;EN-ES Animals
Ant          ;Hormiga
Bat          ;Murciélago
Bear         ;Oso
Bee          ;abeja
Beetle       ;Escarabajo
Bird         ;Pájaro
Boar         ;Jabali
Butterfly    ;Mariposa
Camel        ;Camello
Cat          ;Gato
Centipede    ;Ciempiés
Cheetah      ;Leopardo cazador
Chicken      ;Pollo
Cockroach    ;Cucaracha
Cow          ;Vaca
Crab         ;Cangrejo
Crocodile    ;Cocodrilo
Deer         ;Ciervo
Dog          ;Perro
Duck         ;Pato
Elephant     ;Elefante
Fish         ;Pescado
Goat         ;Cabra
Goose        ;ganso
Grasshopper  ;Saltamontes
Hamster      ;Hámster
Hedgehog     ;Erizo
Hippo        ;Hipopótamo
Horse        ;Caballo
Leopard      ;Leopardo
Lion         ;León
Llama        ;Llama
Mouse        ;Ratón
Newt         ;Tritón
Otter        ;Nutria
Panda        ;Panda
Pig          ;Cerdo
Pigeon       ;Paloma
Python       ;Pitón
Rabbit       ;Conejo
Rat          ;Rata
Reptile      ;Reptil
Rhino        ;Rinoceronte
Scorpion     ;Escorpión
Shark        ;Tiburón
Sheep        ;Oveja
Sloth        ;Perezoso
Snail        ;Caracol
Snake        ;Serpiente
Spider       ;Araña
Squid        ;Calamar
Squirrel     ;Ardilla
Star Fish    ;Estrella de pescado
Tiger        ;Tigre
Toad         ;Sapo
Tortoise     ;Tortuga
Tuna         ;Atún
Turkey       ;Turquía
Turtle       ;Tortuga
Wasp         ;Avispa
Whale        ;Ballena
Wolf         ;Lobo
Worm         ;Gusano
Zebra        ;Cebra
