English;Spanish;EN-ES Numbers
Zero             ;Cero
One              ;Uno
Two              ;Dos
Three            ;Tres
Four             ;Las cuatro
Five             ;Cinco
Six              ;Seis
Seven            ;Siete
Eight            ;Ocho
Nine             ;Nueve
Ten              ;Diez
Eleven           ;Once
Twelve           ;Doce
Thirteen         ;Trece
Fourteen         ;Catorce
Fifteen          ;Quince
Sixteen          ;Dieciséis
Seventeen        ;De diecisiete
Eighteen         ;Dieciocho
Nineteen         ;Diecinueve
Twenty           ;Veinte
Thirty           ;Treinta
Forty            ;Cuarenta
Fifty            ;Cincuenta
Sixty            ;Sesenta
Seventy          ;Setenta
Eighty           ;Ochenta
Ninety           ;Noventa
Hundred          ;Cien
Twenty-One       ;Veintiuno
Twenty-Two       ;Veintidós
Twenty-Three     ;Veintitres
Twenty-Four      ;Veinticuatro
Twenty-Five      ;Veinticinco
Twenty-Six       ;Veintiseis
Twenty-Seven     ;Veintisiete
Twenty-Eight     ;Veintiocho
Twenty-Nine      ;Veintinueve
Thirty           ;Treinta
Thirty-One       ;Treinta y uno
Thirty-Two       ;Treinta y dos
Thirty-Three     ;Treinta y tres
Thirty-Four      ;Treinta y cuatro
Thirty-Five      ;Treinta y cinco
Thirty-Six       ;Treinta y seis
Thirty-Seven     ;Treinta y siete
Thirty-Eight     ;Treinta y ocho
Thirty-Nine      ;Treinta y nueve
Forty            ;Cuarenta
Forty-One        ;Cuarenta y uno
Forty-Two        ;Cuarenta y dos
Forty-Three      ;Cuarenta y tres
Forty-Four       ;Cuarenta y cuatro
Forty-Five       ;Cuarenta y cinco
Forty-Six        ;Cuarenta y seis
Forty-Seven      ;Cuarenta y siete
Forty-Eight      ;Cuarenta y ocho
Forty-Nine       ;Cuarenta y nueve
Fifty            ;Cincuenta
Fifty-One        ;Cincuenta y uno
Fifty-Two        ;Cincuenta y dos
Fifty-Three      ;Cincuenta y tres
Fifty-Four       ;Cincuenta y cuatro
Fifty-Five       ;Cincuenta y cinco
Fifty-Six        ;Cincuenta y seis
Fifty-Seven      ;Cincuenta y siete
Fifty-Eight      ;Cincuenta y ocho
Fifty-Nine       ;Cincuenta y nueve
Sixty            ;Sesenta
Sixty-One        ;Sesenta y uno
Sixty-Two        ;Sesenta y dos
Sixty-Three      ;Sesenta y tres
Sixty-Four       ;Sesenta y cuatro
Sixty-Five       ;Sesenta y cinco
Sixty-Six        ;Sesenta y seis
Sixty-Seven      ;Sesenta y siete
Sixty-Eight      ;Sesenta y ocho
Sixty-Nine       ;Sesenta y nueve
Seventy          ;Setenta
Seventy-One      ;Setenta y uno
Seventy-Two      ;Setenta y dos
Seventy-Three    ;Setenta y tres
Seventy-Four     ;Setenta y cuatro
Seventy-Five     ;Setenta y cinco
Seventy-Six      ;Setenta y seis
Seventy-Seven    ;Setenta y siete
Seventy-Eight    ;Setenta y ocho
Seventy-Nine     ;Setenta y nueve
Eighty           ;Ochenta
Eighty-One       ;Ochenta y uno
Eighty-Two       ;Ochenta y dos
Eighty-Three     ;Ochenta y tres
Eighty-Four      ;Ochenta y cuatro
Eighty-Five      ;Ochenta y cinco
Eighty-Six       ;Ochenta y seis
Eighty-Seven     ;Ochenta y siete
Eighty-Eight     ;Ochenta y ocho
Eighty-Nine      ;Ochenta y nueve
Ninety           ;Noventa
Ninety-One       ;Noventa y uno
Ninety-Two       ;Noventa y dos
Ninety-Three     ;Noventa y tres
Ninety-Four      ;Noventa y cuatro
Ninety-Five      ;Noventa y cinco
Ninety-Six       ;Noventa y seis
Ninety-Seven     ;Noventa y siete
Ninety-Eight     ;Noventa y ocho
Ninety-Nine      ;Noventa y nueve
Hundred          ;Cien
