English;French;EN-FR Numbers
Zero;zéro
One;un
Two;deux
Three;trois
Four;quatre
Five;cinq
Six;Six
Seven;sept
Eight;huit
Nine;neuf
Ten;dix
Eleven;onze
Twelve;douze
Thirteen;treize
Fourteen;quatorze
Fifteen;quinze
Sixteen;seize
Seventeen;dix-sept
Eighteen;dix-huit
Nineteen;dix-neuf
Twenty;vingt;
Twenty-One;vingt et un
Twenty-Two;vingt-deux
Twenty-Three;vingt-trois
Twenty-Four;vingt-quatre
Twenty-Five;vingt-cinq
Twenty-Six;vingt-Six
Twenty-Seven;vingt-sept
Twenty-Eight;vingt-huit
Twenty-Nine;vingt-neuf
Thirty;trente
Thirty-One;Trente et un
Thirty-Two;Trente-deux
Thirty-Three;Trente-trois
Thirty-Four;Trente-quatre
Thirty-Five;Trente-cinq
Thirty-Six;Trente-Six
Thirty-Seven;Trente-sept
Thirty-Eight;Trente-huit
Thirty-Nine;Trente-neuf
Forty;quarante
Forty-One;quarante et un
Forty-Two;quarante-deux
Forty-Three;quarante-trois
Forty-Four;quarante-quatre
Forty-Five;quarante-cinq
Forty-Six;quarante-Six
Forty-Seven;quarante-sept
Forty-Eight;quarante-huit
Forty-Nine;quarante-neuf
Fifty;cinquante
Fifty-One;cinquante et un
Fifty-Two;cinquante-deux
Fifty-Three;cinquante-trois
Fifty-Four;cinquante-quatre
Fifty-Five;cinquante-cinq
Fifty-Six;cinquante-Six
Fifty-Seven;cinquante-sept
Fifty-Eight;cinquante-huit
Fifty-Nine;cinquante-neuf
Sixty;soixante
Sixty-One;soixante et un
Sixty-Two;soixante-deux
Sixty-Three;soixante-trois
Sixty-Four;soixante-quatre
Sixty-Five;soixante-cinq
Sixty-Six;soixante-Six
Sixty-Seven;soixante-sept
Sixty-Eight;soixante-huit
Sixty-Nine;soixante-neuf
Seventy;soixante-dix
Seventy-One;soixante-et-onze
Seventy-Two;soixante-douze
Seventy-Three;soixante-treize
Seventy-Four;soixante-quatorze
Seventy-Five;soixante-quinze
Seventy-Six;soixante-seize
Seventy-Seven;soixante-dix-sept
Seventy-Eight;soixante-dix-huit
Seventy-Nine;soixante-dix-neuf
Eighty;quatre-vingts
Eighty-One;quatre-vingt-un
Eighty-Two;quatre-vingt-deux
Eighty-Three;quatre-vingt-trois
Eighty-Four;quatre-vingt-quatre
Eighty-Five;quatre-vingt-cinq
Eighty-Six;quatre-vingt-Six
Eighty-Seven;quatre-vingt-sept
Eighty-Eight;quatre-vingt-huit
Eighty-Nine;quatre-vingt-neuf
Ninety;quatre-vingt-dix
Ninety-One;quatre-vingt-onze
Ninety-Two;quatre-vingt-douze
Ninety-Three;quatre-vingt-treize
Ninety-Four;quatre-vingt-quatorze
Ninety-Five;quatre-vingt-quinze
Ninety-Six;quatre-vingt-seize
Ninety-Seven;quatre-vingt-dix-sept
Ninety-Eight;quatre-vingt-dix-huit
Ninety-Nine;quatre-vingt-dix-neuf
Hundred;Cent
